student_id,star_reading_2022_23,star_math_2022_23,star_reading_2023_24,star_math_2023_24,star_reading_2024_25,star_math_2024_25,attendance_2022_23,attendance_2023_24,attendance_2024_25,caaspp_ela_2022_23,caaspp_math_2022_23,caaspp_ela_2023_24,caaspp_math_2023_24,strict_comparison_ready
2003280,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2003385,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004270,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2004476,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005139,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005173,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005209,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005211,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2005214,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005243,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005266,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2005287,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005291,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2005297,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005346,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005351,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005385,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005388,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2005405,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005430,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005442,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005447,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005453,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005470,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2005500,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2005535,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005556,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005557,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2005558,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005595,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005631,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2005733,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005735,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005749,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005796,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005843,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2005845,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005850,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006073,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006109,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006198,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006317,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006328,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2006402,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2006419,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006456,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006461,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2006492,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006512,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006528,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2006545,False,False,False,False,False,False,False,False,False,False,False,True,False,False
